signal: -89.00 dBm
signal: -86.00 dBm
signal: -85.00 dBm
signal: -74.00 dBm
signal: -79.00 dBm
signal: -82.00 dBm
signal: -68.00 dBm
signal: -68.00 dBm
signal: -72.00 dBm
signal: -78.00 dBm
signal: -83.00 dBm
signal: -84.00 dBm
signal: -87.00 dBm
signal: -85.00 dBm
signal: -77.00 dBm
signal: -75.00 dBm
signal: -74.00 dBm
signal: -77.00 dBm
signal: -87.00 dBm
signal: -84.00 dBm
signal: -86.00 dBm
signal: -79.00 dBm
signal: -77.00 dBm
signal: -77.00 dBm
signal: -87.00 dBm
signal: -87.00 dBm
signal: -88.00 dBm
signal: -79.00 dBm
signal: -88.00 dBm
signal: -89.00 dBm
